x,y
24,21.54945196
50,47.46446305
15,17.21865634
38,36.58639803
87,87.28898389
36,32.46387493
12,10.78089683
81,80.7633986
25,24.61215147
5,6.963319071
16,11.23757338
16,13.53290206
24,24.60323899
39,39.40049976
54,48.43753838
60,61.69900319
26,26.92832418
73,70.4052055
29,29.34092408
31,25.30895192
68,69.02934339
87,84.99484703
58,57.04310305
54,50.5921991
84,83.02772202
58,57.05752706
49,47.95883341
20,24.34226432
90,94.68488281
48,48.03970696
4,7.08132338
25,21.99239907
42,42.33151664
0,0.329089443
60,61.92303698
93,91.17716423
39,39.45358014
7,5.996069607
21,22.59015942
68,61.18044414
84,85.02778957
0,-1.28631089
58,61.94273962
19,21.96033347
36,33.66194193
19,17.60946242
59,58.5630564
51,52.82390762
19,22.1363481
33,35.07467353
85,86.18822311
44,42.63227697
5,4.09817744
59,61.2229864
14,17.70677576
9,11.85312574
75,80.23051695
69,62.64931741
10,9.616859804
17,20.02797699
58,61.7510743
74,71.61010303
21,23.77154623
51,51.90142035
19,22.66073682
50,50.02897927
24,26.68794368
0,0.376911899
12,6.806419002
75,77.33986001
21,28.90260209
64,66.7346608
5,0.707510638
58,57.07748383
32,28.41453196
41,44.46272123
7,7.459605998
4,2.316708112
5,4.928546187
49,52.50336074
90,91.19109623
3,8.489164326
11,6.963371967
32,31.97989959
83,81.4281205
25,22.62365422
83,78.52505087
26,25.80714057
76,73.51081775
95,91.775467
53,49.21863516
77,80.50445387
42,50.05636123
25,25.46292549
54,55.32164264
55,59.1244888
0,1.100686692
73,71.98020786
35,30.13666408
86,83.88427405
90,89.91004752
13,8.335654576
46,47.88388961
46,45.00397413
32,31.15664574
8,9.190375682
71,74.83135003
28,30.23177607
24,24.21914027
56,57.87219151
49,50.61728392
79,78.67470043
90,86.236707
89,89.10409255
41,43.26595082
27,26.68273277
58,59.46383041
26,28.90055826
31,31.300416
70,71.1433266
71,68.4739206
39,39.98238856
7,4.075776144
48,47.85817542
56,51.20390217
45,43.9367213
41,38.13626679
3,3.574661632
37,36.4139958
24,22.21908523
68,63.5312572
47,49.86702787
27,21.53140009
68,64.05710234
74,70.77549842
95,92.15749762
79,81.22259156
21,25.10114067
95,94.08853397
54,53.25166165
56,59.16236621
80,75.24148428
26,28.22325833
25,25.33323728
8,6.364615703
95,95.4609216
94,88.64183756
54,58.70318693
7,6.815491279
99,99.40394676
36,32.77049249
48,47.0586788
65,60.53321778
42,40.30929858
93,89.42222685
86,86.82132066
26,26.11697543
51,53.26657596
100,96.62327888
94,95.78441027
6,6.047286687
24,24.47387908
75,75.96844763
7,3.829381009
53,52.51703683
73,72.80457527
16,14.10999096
80,80.86087062
77,77.01988215
89,86.26972444
80,77.13735466
55,51.47649476
19,17.34557531
56,57.72853572
47,44.15029394
56,59.24362743
2,-1.053275611
82,86.79002254
57,60.14031858
44,44.04222058
26,24.5227488
52,52.95305521
41,43.16133498
44,45.67562576
3,-2.830749501
31,29.19693178
97,96.49812401
21,22.5453232
17,20.10741433
7,4.035430253
61,61.14568518
10,13.97163653
52,55.34529893
10,12.18441166
65,64.00077658
71,70.3188322
4,-0.936895047
24,18.91422276
26,23.87590331
51,47.5775361
42,43.2736092
62,66.48278755
74,75.72605529
77,80.59643338
3,-2.235879852
50,47.04654956
24,21.59635575
37,32.87558963
58,57.95782956
52,52.24760027
27,24.58286902
14,12.12573805
100,100.0158026
35,38
72,74.04682658
5,1.611947467
71,70.36836307
54,52.26831735
84,83.1286166
42,43.64765048
54,49.44785426
74,72.6356699
54,52.78130641
53,57.11195136
78,79.1050629
97,101.6228548
49,53.5825402
71,68.92139297
48,46.9666961
51,51.02642868
89,85.52073551
99,99.51685756
93,94.63911256
49,46.78357742
18,21.21321959
65,58.37266004
83,87.22059677
100,102.4967859
41,43.88314335
52,53.06655757
29,26.33464785
97,98.52008934
7,9.400497579
51,52.94026699
58,53.83020877
50,45.94511142
67,65.0132736
89,86.5069584
76,75.63280796
35,36.78035027
99,100.5328916
31,29.04466136
52,51.70352433
11,9.199954718
66,71.70015848
50,49.82634062
39,37.49971096
60,53.65084683
35,33.92561965
53,49.92639685
14,8.148154262
49,49.72359037
16,16.16712757
